Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-01-01 09:30:00,23592.05078125,23650.05078125,23563.0,23640.75,0
2025-01-01 10:00:00,23653.25,23655.150390625,23576.55078125,23591.69921875,0
2025-01-01 10:30:00,23739.30078125,23749.849609375,23638.75,23651.75,0
2025-01-01 11:00:00,23742.900390625,23778.650390625,23722.25,23739.400390625,0
2025-01-01 11:30:00,23691.5,23749.099609375,23678.349609375,23741.5,0
2025-01-01 12:00:00,23748.900390625,23769.80078125,23688.650390625,23691.099609375,0
2025-01-01 12:30:00,23733.849609375,23773.0,23732.400390625,23749.19921875,0
2025-01-01 13:00:00,23744.55078125,23747.349609375,23718.69921875,23734.150390625,0
2025-01-01 13:30:00,23785.400390625,23785.94921875,23725.30078125,23743.80078125,0
2025-01-01 14:00:00,23779.55078125,23822.30078125,23770.94921875,23786.25,0
2025-01-01 14:30:00,23741.19921875,23797.650390625,23734.75,23779.900390625,0
2025-01-01 15:00:00,23758.69921875,23769.80078125,23721.44921875,23741.55078125,0
2025-01-02 09:30:00,23833.099609375,23868.150390625,23752.400390625,23760.30078125,0
2025-01-02 10:00:00,23878.5,23889.349609375,23829.30078125,23834.05078125,0
2025-01-02 10:30:00,23932.75,23938.5,23855.599609375,23878.5,0
2025-01-02 11:00:00,23967.19921875,23969.150390625,23921.75,23931.94921875,0
2025-01-02 11:30:00,23937.400390625,23973.849609375,23916.25,23966.650390625,0
2025-01-02 12:00:00,24015.599609375,24024.94921875,23927.349609375,23937.69921875,0
2025-01-02 12:30:00,24054.75,24072.0,24014.19921875,24014.849609375,0
2025-01-02 13:00:00,24099.849609375,24128.849609375,24043.44921875,24055.650390625,0
2025-01-02 13:30:00,24123.80078125,24151.75,24084.099609375,24099.650390625,0
2025-01-02 14:00:00,24156.80078125,24186.30078125,24117.94921875,24123.400390625,0
2025-01-02 14:30:00,24208.150390625,24226.099609375,24155.349609375,24156.44921875,0
2025-01-02 15:00:00,24167.94921875,24210.5,24164.900390625,24209.150390625,0
2025-01-03 09:30:00,24058.150390625,24141.94921875,24051.900390625,24132.150390625,0
2025-01-03 10:00:00,24047.0,24111.349609375,24033.25,24057.900390625,0
2025-01-03 10:30:00,24011.599609375,24047.94921875,24000.400390625,24046.55078125,0
2025-01-03 11:00:00,24113.19921875,24149.900390625,24008.0,24010.400390625,0
2025-01-03 11:30:00,24135.44921875,24137.55078125,24090.75,24113.30078125,0
2025-01-03 12:00:00,24059.099609375,24139.94921875,24058.400390625,24135.80078125,0
2025-01-03 12:30:00,24082.5,24087.80078125,24052.25,24060.099609375,0
2025-01-03 13:00:00,24099.05078125,24121.599609375,24078.349609375,24082.650390625,0
2025-01-03 13:30:00,24041.650390625,24106.5,24038.55078125,24098.75,0
2025-01-03 14:00:00,24043.69921875,24049.80078125,24018.55078125,24041.25,0
2025-01-03 14:30:00,24032.55078125,24053.5,24020.0,24043.900390625,0
2025-01-03 15:00:00,23990.150390625,24035.19921875,23976.75,24032.849609375,0
2025-01-06 09:30:00,23942.0,24071.5,23911.849609375,24035.650390625,0
2025-01-06 10:00:00,23966.94921875,24054.30078125,23942.25,23942.25,0
2025-01-06 10:30:00,23831.5,23966.900390625,23820.44921875,23966.900390625,0
2025-01-06 11:00:00,23782.349609375,23837.400390625,23717.0,23831.05078125,0
2025-01-06 11:30:00,23608.150390625,23800.349609375,23602.099609375,23782.75,0
2025-01-06 12:00:00,23679.05078125,23731.0,23609.900390625,23609.900390625,0
2025-01-06 12:30:00,23769.55078125,23770.44921875,23679.19921875,23679.19921875,0
2025-01-06 13:00:00,23669.69921875,23779.150390625,23661.900390625,23768.150390625,0
2025-01-06 13:30:00,23632.19921875,23676.650390625,23602.599609375,23672.099609375,0
2025-01-06 14:00:00,23614.650390625,23665.94921875,23613.05078125,23633.75,0
2025-01-06 14:30:00,23643.05078125,23644.05078125,23553.0,23615.150390625,0
2025-01-06 15:00:00,23629.599609375,23653.80078125,23580.150390625,23644.19921875,0
2025-01-07 09:30:00,23678.75,23795.05078125,23664.150390625,23761.0,0
2025-01-07 10:00:00,23758.849609375,23768.05078125,23638.0,23678.5,0
2025-01-07 10:30:00,23724.849609375,23766.80078125,23708.099609375,23758.900390625,0
2025-01-07 11:00:00,23748.849609375,23756.900390625,23713.150390625,23725.400390625,0
2025-01-07 11:30:00,23738.30078125,23770.5,23736.05078125,23749.0,0
2025-01-07 12:00:00,23720.400390625,23743.80078125,23708.5,23738.75,0
2025-01-07 12:30:00,23726.94921875,23742.69921875,23717.599609375,23720.80078125,0
2025-01-07 13:00:00,23730.80078125,23738.599609375,23713.75,23727.80078125,0
2025-01-07 13:30:00,23689.150390625,23761.94921875,23686.900390625,23730.099609375,0
2025-01-07 14:00:00,23710.69921875,23733.69921875,23687.80078125,23689.400390625,0
2025-01-07 14:30:00,23720.55078125,23728.599609375,23684.349609375,23709.75,0
2025-01-07 15:00:00,23694.599609375,23737.0,23686.80078125,23723.099609375,0
2025-01-08 09:30:00,23670.05078125,23697.44921875,23622.25,23637.80078125,0
2025-01-08 10:00:00,23607.650390625,23685.0,23578.650390625,23670.150390625,0
